"Station","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","CodeSum","Depth","Water1","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
1,"2014-05-01",49,42,46,-7,38,42,19,0,448,1849,"RA DZ BR",0,"M",0,0.09,29.02,29.74,13.5,24,13.4
2,"2014-05-01",50,43,47,"M",42,44,18,0,"-","-","RA DZ","M","M","M",0.09,29.1,29.76,14.1,24,14
1,"2014-05-02",53,46,50,-4,39,45,15,0,447,1850," ",0,"M",0,"  T",29.03,29.77,10.2,24,11.5
2,"2014-05-02",80,47,"M","M",43,47,"M","M","-","-","RA","M","M","M",0.04,29.1,29.79,10.7,23,11.9
1,"2014-05-03",67,46,57,3,37,48,8,0,446,1851," ",0,"M",0,0,29.07,29.77,13.8,28,14.7
2,"2014-05-03",68,49,59,"M",39,49,6,0,"-","-"," ","M","M","M",0,29.13,29.77,13.3,28,14.1
1,"2014-05-04",58,44,51,-3,29,41,14,0,444,1852," ",0,"M",0,0,29.31,30.01,4.8,3,10
2,"2014-05-04",61,47,54,"M",31,43,11,0,"-","-"," ","M","M","M",0,29.37,30.01,5.6,4,11.1
1,"2014-05-05",55,43,49,-6,34,42,16,0,443,1853,"RA",0,"M",0,0.05,29.26,29.98,12.6,5,13.1
2,"2014-05-05",59,45,52,"M",36,44,13,0,"-","-","RA","M","M","M",0.01,29.31,29.98,12.5,5,13.8
1,"2014-05-06",63,41,52,-3,34,45,13,0,442,1855," ",0,"M",0,0,29.21,29.95,12.6,7,13.7
2,"2014-05-06",63,45,54,"M",38,47,11,0,"-","-"," ","M","M","M",0,29.26,29.94,12.9,7,13.7
1,"2014-05-07",78,48,63,8,42,50,2,0,441,1856," ",0,"M",0,"  T",29.1,29.82,7.5,8,8.9
2,"2014-05-07",80,52,66,"M",47,55,0,1,"-","-","RA","M","M","M","  T",29.15,29.81,6.3,10,9.3
1,"2014-05-08",89,51,70,14,55,63,0,5,439,1857,"RA",0,"M",0,0.1,29.08,29.8,13.7,21,14.2
2,"2014-05-08",93,68,81,"M",58,66,0,16,"-","-"," ","M","M","M",0,29.15,29.79,13.8,20,14.3
1,"2014-05-09",73,54,64,8,52,58,1,0,438,1858,"RA BR",0,"M",0,1.03,29.03,29.74,13.2,24,16
2,"2014-05-09",76,57,67,"M",56,61,0,2,"-","-","TSRA RA BR","M","M","M",1.43,29.1,29.73,12.4,23,15.3
1,"2014-05-10",77,47,62,6,42,52,3,0,437,1859," ",0,"M",0,0,29.19,29.91,2.9,25,6.9
2,"2014-05-10",77,52,65,"M",44,54,0,0,"-","-"," ","M","M","M",0,29.26,29.9,3.1,20,6.8
1,"2014-05-11",81,52,67,10,53,59,0,2,436,1860," ",0,"M",0,0.12,29.19,29.91,7.6,16,8.9
2,"2014-05-11",85,63,74,"M",55,61,0,9,"-","-","TSRA","M","M","M",0.41,29.26,29.9,7.8,17,10.1
1,"2014-05-12",84,64,74,17,64,67,0,9,435,1901,"TS TSRA BR",0,"M",0,2.09,29.13,29.85,6.6,19,12
2,"2014-05-12",86,65,76,"M",67,70,0,11,"-","-","TS RA BR","M","M","M",0.03,29.2,29.84,11.1,19,12.5
1,"2014-05-13",67,52,60,2,53,56,5,0,434,1902,"RA BR",0,"M",0,0.12,29.29,29.98,9.5,26,12.3
2,"2014-05-13",70,54,62,"M",55,58,3,0,"-","-","RA","M","M","M",0.14,29.35,29.97,8.1,25,10.8
1,"2014-05-14",56,44,50,-8,39,46,15,0,433,1903,"RA BR",0,"M",0,0.02,29.36,30.09,10.9,2,12
2,"2014-05-14",57,44,51,"M",41,48,14,0,"-","-","RA BR","M","M","M",0.06,29.41,30.08,11.4,1,12.5
1,"2014-05-15",55,40,48,-10,35,41,17,0,432,1904,"RA",0,"M",0,0.19,29.26,30,10.3,1,13.6
2,"2014-05-15",57,42,50,"M",38,43,15,0,"-","-","RA BR","M","M","M",0.26,29.32,30,9.2,1,13.6
1,"2014-05-16",46,37,42,-17,34,38,23,0,431,1905,"RA DZ",0,"M",0,0.1,29.33,30.05,4.9,6,8
2,"2014-05-16",45,41,43,"M",37,40,22,0,"-","-","RA","M","M","M",0.08,29.39,30.06,6.6,5,9.1
1,"2014-05-17",60,39,50,-9,33,42,15,0,430,1906,"BR",0,"M",0,0,29.4,30.12,7.7,26,8.5
2,"2014-05-17",61,41,51,"M",34,44,14,0,"-","-","BR","M","M","M",0,29.47,30.14,7.6,24,8.2
1,"2014-05-18",69,47,58,-2,37,48,7,0,429,1907," ",0,"M",0,0,29.47,30.19,9.8,22,10.5
2,"2014-05-18",70,48,59,"M",38,49,6,0,"-","-"," ","M","M","M",0,29.54,30.2,8.5,21,9.2
1,"2014-05-19",69,45,57,-3,40,50,8,0,428,1908,"RA",0,"M",0,"  T",29.34,30.1,12.7,16,13.3
2,"2014-05-19",71,53,62,"M",40,52,3,0,"-","-","RA","M","M","M","  T",29.41,30.1,11.3,16,12
1,"2014-05-20",85,62,74,13,58,63,0,9,427,1909,"TS TSRA RA BR",0,"M",0,0.82,29.12,29.86,9.9,20,11.1
2,"2014-05-20",87,63,75,"M",60,65,0,10,"-","-","TS TSRA BR","M","M","M",0.64,29.19,29.85,10.5,20,11.9
1,"2014-05-21",86,63,75,14,55,63,0,10,426,1910,"RA BR HZ",0,"M",0,0.01,29.16,29.86,4.4,31,7.5
2,"2014-05-21",89,68,79,"M",58,66,0,14,"-","-","HZ","M","M","M",0.01,29.21,29.84,4.8,30,7.9
1,"2014-05-22",70,53,62,1,47,54,3,0,425,1911," ",0,"M",0,0,29.36,30.06,4,5,6.8
2,"2014-05-22",69,54,62,"M",50,56,3,0,"-","-"," ","M","M","M",0,29.42,30.05,5.4,5,7.5
1,"2014-05-23",69,48,59,-2,43,51,6,0,425,1912," ",0,"M",0,0,29.47,30.18,6.2,5,6.5
2,"2014-05-23",68,51,60,"M",46,52,5,0,"-","-"," ","M","M","M",0,29.52,30.17,5.1,5,6
1,"2014-05-24",74,47,61,-1,42,52,4,0,424,1913," ",0,"M",0,0,29.44,30.18,3.9,6,5.2
2,"2014-05-24",74,50,62,"M",45,53,3,0,"-","-"," ","M","M","M",0,29.5,30.17,3.2,7,4.6
1,"2014-05-25",83,50,67,5,46,56,0,2,423,1914," ",0,"M",0,0,29.35,30.08,2.3,15,5
2,"2014-05-25",85,54,70,"M",49,58,0,5,"-","-"," ","M","M","M",0,29.41,30.08,1.7,15,4.5
1,"2014-05-26",87,61,74,12,59,65,0,9,422,1915," ",0,"M",0,0,29.25,29.98,5.9,21,7.5
2,"2014-05-26",90,67,79,"M",62,67,0,14,"-","-","TS","M","M","M",0.08,29.31,29.97,6.3,21,7.7
1,"2014-05-27",85,58,72,10,61,65,0,7,422,1916,"RA BR",0,"M",0,0.21,29.21,29.91,5.3,25,10
2,"2014-05-27",85,61,73,"M",65,68,0,8,"-","-","RA BR","M","M","M",0.5,29.26,29.9,5.3,24,9.7
1,"2014-05-28",71,56,64,1,49,55,1,0,421,1916,"RA BR",0,"M",0,0.03,29.29,30,9.1,4,9.3
2,"2014-05-28",73,58,66,"M",54,59,0,1,"-","-","RA BR HZ","M","M","M",0.68,29.35,29.99,8.3,4,9.1
1,"2014-05-29",76,54,65,1,51,57,0,0,421,1917," ",0,"M",0,0,29.38,30.09,8.4,5,9
2,"2014-05-29",77,57,67,"M",55,59,0,2,"-","-"," ","M","M","M",0,29.42,30.07,8.8,4,9.7
1,"2014-05-30",79,53,66,2,49,57,0,1,420,1918," ",0,"M",0,0,29.44,30.15,6.1,6,7
2,"2014-05-30",79,57,68,"M",53,59,0,3,"-","-"," ","M","M","M",0,29.49,30.13,7.1,7,8
1,"2014-05-31",88,54,71,7,50,59,0,6,420,1919," ",0,"M",0,0,29.39,30.12,5.8,12,8
2,"2014-05-31",89,60,75,"M",53,62,0,10,"-","-"," ","M","M","M",0,29.45,30.1,5.1,11,7.4
1,"2014-06-01",90,63,77,13,59,66,0,12,419,1920," ",0,"M",0,"  T",29.24,29.96,12.9,18,13
2,"2014-06-01",92,69,81,"M",60,68,0,16,"-","-"," ","M","M","M","  T",29.31,29.95,12,18,12.1
1,"2014-06-02",83,68,76,12,62,67,0,11,419,1920,"RA",0,"M",0,0.14,29.11,29.83,13.2,22,14.6
2,"2014-06-02",85,69,77,"M",65,70,0,12,"-","-"," ","M","M","M",0.2,29.18,29.82,13.4,22,15
1,"2014-06-03",81,66,74,10,50,60,0,9,418,1921," ",0,"M",0,0,29.18,29.89,7.2,28,9.8
2,"2014-06-03",82,70,76,"M",53,62,0,11,"-","-"," ","M","M","M",0,29.24,29.88,3.7,29,10.5
1,"2014-06-04",70,55,63,-1,53,57,2,0,418,1922,"RA BR",0,"M",0,0.19,29.13,29.85,7.8,6,9.3
2,"2014-06-04",72,58,65,"M",56,59,0,0,"-","-","RA BR","M","M","M",0.12,29.18,29.84,8.5,6,10.9
1,"2014-06-05",76,52,64,-1,42,53,1,0,417,1923," ",0,"M",0,0,29.23,29.95,5,6,6
2,"2014-06-05",75,56,66,"M",44,55,0,1,"-","-"," ","M","M","M",0,29.29,29.94,6.5,6,7.8
1,"2014-06-06",81,49,65,-1,40,54,0,0,417,1923," ",0,"M",0,0,29.26,29.98,3.9,11,4.9
2,"2014-06-06",82,54,68,"M",42,55,0,3,"-","-"," ","M","M","M",0,29.32,29.97,4.8,9,5.6
1,"2014-06-07",84,57,71,5,50,59,0,6,417,1924,"RA",0,"M",0,0.08,29.18,29.91,3.3,9,7.7
2,"2014-06-07",85,62,74,"M",51,60,0,9,"-","-","RA","M","M","M",0.12,29.23,29.89,4.2,10,7.1
1,"2014-06-08",72,54,63,-3,44,53,2,0,417,1925,"RA",0,"M",0,0.23,29.28,29.98,13.9,2,14.1
2,"2014-06-08",70,55,63,"M",48,55,2,0,"-","-","RA BR","M","M","M",0.21,29.33,29.97,15.4,1,15.7
1,"2014-06-09",78,55,67,1,48,55,0,2,416,1925," ",0,"M",0,0,29.24,29.96,7.7,4,8.5
2,"2014-06-09",79,56,68,"M",52,58,0,3,"-","-"," ","M","M","M",0,29.29,29.94,6.3,4,8
1,"2014-06-10",66,56,61,-6,51,55,4,0,416,1926,"RA BR",0,"M",0,1.26,29.12,29.87,10,3,10.3
2,"2014-06-10",70,59,65,"M",56,59,0,0,"-","-","RA DZ BR","M","M","M",0.45,29.17,29.85,8.3,3,9.1
1,"2014-06-11",67,57,62,-5,55,58,3,0,416,1926,"RA DZ BR",0,"M",0,0.52,29,29.71,6.4,34,7.4
2,"2014-06-11",69,62,66,"M",60,62,0,1,"-","-","RA DZ BR HZ","M","M","M",0.03,29.05,29.7,2.2,36,5.8
1,"2014-06-12",79,58,69,1,56,62,0,4,416,1927,"DZ BR",0,"M",0,"  T",29.08,29.78,8.6,27,10
2,"2014-06-12",82,63,73,"M",59,64,0,8,"-","-","DZ BR","M","M","M",0.01,29.13,29.77,8.9,26,9.8
1,"2014-06-13",75,55,65,-3,41,52,0,0,416,1927," ",0,"M",0,0,29.26,29.96,6.4,31,9.8
2,"2014-06-13",75,57,66,"M",45,55,0,1,"-","-"," ","M","M","M",0,29.32,29.95,3.4,34,7.5
1,"2014-06-14",79,52,66,-2,43,55,0,1,416,1928," ",0,"M",0,0,29.31,30.03,7.8,17,8.3
2,"2014-06-14",80,57,69,"M",43,56,0,4,"-","-"," ","M","M","M",0,29.37,30.02,7.5,17,8.6
1,"2014-06-15",84,60,72,4,55,63,0,7,416,1928," ",0,"M",0,0,29.17,29.89,14.3,19,15.7
