"Station","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","CodeSum","Depth","Water1","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
1,"2012-05-01",65,49,57,4,52,55,8,0,448,1849,"RA BR HZ",0,"M",0,0.09,29.18,29.92,6.2,12,7.7
2,"2012-05-01",64,52,58,"M",53,56,7,0,"-","-","RA BR HZ","M","M","M",0.32,29.24,29.92,5.5,12,6.3
1,"2012-05-02",80,58,69,15,60,64,0,4,447,1850,"FG+ BR",0,"M",0,0,29.12,29.84,8.1,21,10.1
2,"2012-05-02",78,60,69,"M",60,64,0,4,"-","-","BR","M","M","M","  T",29.19,29.83,7.5,20,9.6
1,"2012-05-03",86,66,76,22,65,69,0,11,446,1851,"TS TSRA",0,"M","  T",1.34,29.16,29.86,10.8,21,12
2,"2012-05-03",86,69,78,"M",64,69,0,13,"-","-","TSRA RA BR VCTS","M","M","M",0.07,29.23,29.86,12.8,21,13.3
1,"2012-05-04",73,55,64,10,55,58,1,0,444,1852,"TSRA BR HZ",0,"M",0,0.28,29.23,29.94,5.2,5,9.2
2,"2012-05-04",72,51,62,"M",55,58,3,0,"-","-","TSRA BR HZ","M","M","M",0.28,29.28,29.93,6.8,2,10
1,"2012-05-05",60,52,56,1,52,54,9,0,443,1853,"RA BR HZ",0,"M",0,"  T",29.29,30.01,8,4,8.3
2,"2012-05-05",63,53,58,"M",54,56,7,0,"-","-","BR HZ","M","M","M",0,29.34,30,7.4,2,7.7
1,"2012-05-06",70,51,61,6,53,56,4,0,442,1855,"TS TSRA RA BR",0,"M",0,0.8,29.22,29.94,5,6,8.5
2,"2012-05-06",73,54,64,"M",54,57,1,0,"-","-","TSRA BR","M","M","M",0.4,29.27,29.92,3.4,6,7.2
