"Station","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","CodeSum","Depth","Water1","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
1,"2013-05-01",84,56,70,17,54,62,0,5,448,1849," ",0,"M",0,0,29.36,30.06,8,18,9.7
2,"2013-05-01",85,63,74,"M",52,62,0,9,"-","-"," ","M","M","M",0,29.43,30.06,7.7,18,8
1,"2013-05-02",55,42,49,-5,41,45,16,0,447,1850,"RA",0,"M",0,0.11,29.44,30.17,15.2,3,15.4
2,"2013-05-02",71,42,"M","M",39,45,"M","M","-","-"," ","M","M","M",0,29.51,30.17,15.8,2,16.1
1,"2013-05-03",48,40,44,-10,42,43,21,0,446,1851,"RA BR",0,"M",0,0.05,29.28,30.03,11.2,4,11.5
2,"2013-05-03",50,40,45,"M",41,44,20,0,"-","-","RA","M","M","M",0.02,29.34,30.03,11,2,11.2
1,"2013-05-04",71,48,60,6,45,51,5,0,444,1852," ",0,"M",0,0.02,29.26,29.99,6.1,6,7
2,"2013-05-04",72,49,61,"M",44,51,4,0,"-","-"," ","M","M","M","  T",29.32,29.99,6,6,7.6
1,"2013-05-05",69,48,59,4,43,50,6,0,443,1853,"RA",0,"M",0,"  T",29.28,30,8.8,3,9.3
2,"2013-05-05",70,49,60,"M",41,50,5,0,"-","-"," ","M","M","M",0,29.34,30,8,2,8.6
1,"2013-05-06",71,50,61,6,39,49,4,0,442,1855," ",0,"M",0,"  T",29.28,30,7.5,3,8
2,"2013-05-06",70,51,61,"M",37,49,4,0,"-","-"," ","M","M","M",0,29.34,30,7,2,7.5
1,"2013-05-07",75,48,62,7,41,52,3,0,441,1856," ",0,"M",0,0,29.28,30,4.7,5,5.8
2,"2013-05-07",76,49,63,"M",39,51,2,0,"-","-"," ","M","M","M",0,29.35,30.01,5.1,5,6.3
1,"2013-05-08",79,48,64,8,43,54,1,0,439,1857," ",0,"M",0,0,29.26,29.98,3.7,7,5.1
2,"2013-05-08",77,46,62,"M",42,53,3,0,"-","-"," ","M","M","M",0,29.33,29.99,4,9,4.4
1,"2013-05-09",75,46,61,5,50,54,4,0,438,1858,"RA",0,"M",0,0.32,29.15,29.9,1,9,5.8
2,"2013-05-09",76,50,63,"M",49,56,2,0,"-","-","RA DZ BR","M","M","M",0.63,29.23,29.9,0.7,20,5.5
1,"2013-05-10",47,44,46,-10,43,45,19,0,437,1859,"RA DZ BR",0,"M",0,0.13,29.18,29.91,9.4,36,10
2,"2013-05-10",50,44,47,"M",41,44,18,0,"-","-","DZ BR HZ","M","M","M",0.04,29.25,29.91,10.5,35,10.8
1,"2013-05-11",60,43,52,-5,37,45,13,0,436,1860," ",0,"M",0,0,29.21,29.92,10.1,30,12.7
2,"2013-05-11",62,44,53,"M",36,45,12,0,"-","-","BR HZ","M","M","M",0,29.28,29.94,8.7,28,11.1
1,"2013-05-12",55,37,46,-11,29,39,19,0,435,1901," ",0,"M",0,0,29.35,30.08,7.8,32,11.2
2,"2013-05-12",55,38,47,"M",28,39,18,0,"-","-"," ","M","M","M",0,29.42,30.1,5.5,32,9.6
1,"2013-05-13",64,36,50,-8,32,43,15,0,434,1902," ",0,"M",0,0,29.34,30.09,2.5,9,5.9
2,"2013-05-13",61,38,50,"M",31,43,15,0,"-","-"," ","M","M","M",0,29.42,30.11,3.1,8,6.3
1,"2013-05-14",91,50,71,13,49,59,0,6,433,1903," ",0,"M",0,0,28.98,29.75,8.4,22,11.7
2,"2013-05-14",90,57,74,"M",47,58,0,9,"-","-"," ","M","M","M",0,29.07,29.76,8.9,21,11.5
1,"2013-05-15",84,60,72,14,49,59,0,7,432,1904," ",0,"M",0,0,29.07,29.77,3.2,28,8.4
2,"2013-05-15",83,62,73,"M",47,58,0,8,"-","-"," ","M","M","M","  T",29.14,29.76,2.3,24,9.5
1,"2013-05-16",83,53,68,9,46,56,0,3,431,1905," ",0,"M",0,0,29.2,29.89,4.1,7,5
2,"2013-05-16",81,57,69,"M",44,56,0,4,"-","-"," ","M","M","M",0,29.26,29.89,4,7,5.3
1,"2013-05-17",70,55,63,4,46,53,2,0,430,1906," ",0,"M",0,"  T",29.29,30,6.1,4,6.8
2,"2013-05-17",73,58,66,"M",47,55,0,1,"-","-"," ","M","M","M","  T",29.36,29.99,4.5,6,6.1
1,"2013-05-18",80,56,68,8,56,61,0,3,429,1907," ",0,"M",0,0,29.26,29.99,5.3,12,6.5
2,"2013-05-18",79,59,69,"M",55,61,0,4,"-","-","BR HZ","M","M","M",0,29.33,29.99,6.3,10,7
1,"2013-05-19",86,58,72,12,61,66,0,7,428,1908,"BR HZ",0,"M",0,0,29.12,29.85,6.2,14,7.6
2,"2013-05-19",87,62,75,"M",60,66,0,10,"-","-","HZ","M","M","M",0,29.18,29.85,7.1,15,8.1
1,"2013-05-20",89,65,77,16,60,67,0,12,427,1909,"TSRA RA BR",0,"M",0,1.09,29.03,29.73,12.6,22,13.7
2,"2013-05-20",92,65,79,"M",59,67,0,14,"-","-","TS TSRA BR","M","M","M",1.25,29.1,29.73,13.6,20,14.4
1,"2013-05-21",81,64,73,12,63,66,0,8,426,1910,"RA BR",0,"M",0,0.56,28.96,29.67,11.2,20,12.1
2,"2013-05-21",82,65,74,"M",62,66,0,9,"-","-","TSRA RA","M","M","M",0.2,29.03,29.68,12.4,20,12.8
1,"2013-05-22",73,52,63,2,60,63,2,0,425,1911,"TS RA BR",0,"M",0,1.35,28.97,29.66,4.5,25,7.4
2,"2013-05-22",73,56,65,"M",59,62,0,0,"-","-","RA BR","M","M","M",0.65,29.03,29.66,6.4,23,9.3
1,"2013-05-23",54,42,48,-13,43,46,17,0,425,1912,"RA BR",0,"M",0,0.06,29.38,30.05,14.5,2,14.8
2,"2013-05-23",56,43,50,"M",40,45,15,0,"-","-","RA BR","M","M","M",0.12,29.44,30.05,17.9,36,18.1
1,"2013-05-24",57,41,49,-13,34,42,16,0,424,1913," ",0,"M",0,0,29.62,30.35,7.5,4,8.1
2,"2013-05-24",57,42,50,"M",33,42,15,0,"-","-"," ","M","M","M",0,29.7,30.36,8.1,3,9
1,"2013-05-25",57,44,51,-11,37,44,14,0,423,1914," ",0,"M",0,0,29.59,30.34,4.7,5,5.1
2,"2013-05-25",57,46,52,"M",36,44,13,0,"-","-"," ","M","M","M",0,29.67,30.35,3.3,6,3.7
1,"2013-05-26",68,44,56,-6,44,50,9,0,422,1915,"RA",0,"M",0,0.02,29.47,30.22,5.5,9,7.4
2,"2013-05-26",67,46,57,"M",43,50,8,0,"-","-","RA","M","M","M","  T",29.54,30.23,4,9,5.7
1,"2013-05-27",62,53,58,-4,53,55,7,0,422,1916,"TSRA DZ BR HZ",0,"M",0,0.23,29.21,29.97,8.5,9,9.1
2,"2013-05-27",65,56,61,"M",54,57,4,0,"-","-","TSRA RA BR","M","M","M",0.19,29.28,29.97,7.5,10,8.3
1,"2013-05-28",76,56,66,3,64,66,0,1,421,1916,"TSRA RA BR",0,"M",0,0.2,29.06,29.78,8.7,21,10.2
2,"2013-05-28",76,59,68,"M",63,65,0,3,"-","-","TSRA RA BR","M","M","M",2.2,29.13,29.79,9.5,19,10.3
1,"2013-05-29",84,64,74,10,64,67,0,9,421,1917," ",0,"M",0,0.01,29.16,29.88,7.3,20,8.7
2,"2013-05-29",85,65,75,"M",62,67,0,10,"-","-","RA","M","M","M",0.02,29.23,29.88,7.9,20,9.2
1,"2013-05-30",83,64,74,10,66,69,0,9,420,1918,"TSRA RA",0,"M",0,0.51,29.13,29.85,13.4,19,14.6
2,"2013-05-30",84,65,75,"M",64,68,0,10,"-","-","RA","M","M","M",0.09,29.22,29.85,12.9,18,13.9
1,"2013-05-31",77,64,71,7,65,67,0,6,420,1919,"RA BR",0,"M",0,0.3,29.05,29.79,11.7,20,12.1
2,"2013-05-31",78,65,72,"M",64,67,0,7,"-","-","TSRA RA BR","M","M","M",0.23,29.13,29.79,12.4,19,12.7
1,"2013-06-01",76,63,70,6,62,64,0,5,419,1920,"RA BR",0,"M",0,0.56,28.98,29.69,13.1,22,13
2,"2013-06-01",76,63,70,"M",61,64,0,5,"-","-"," ","M","M","M",0.44,29.05,29.69,11.9,21,11.9
1,"2013-06-02",63,43,53,-11,50,51,12,0,419,1920,"RA DZ BR",0,"M",0,0.01,29.24,29.93,1.8,5,6.2
2,"2013-06-02",63,47,55,"M",48,51,10,0,"-","-","DZ BR HZ","M","M","M",0.01,29.31,29.93,2.8,4,7.7
1,"2013-06-03",68,43,56,-8,43,50,9,0,418,1921," ",0,"M",0,0,29.34,30.06,3.7,12,4.8
2,"2013-06-03",68,43,56,"M",40,49,9,0,"-","-"," ","M","M","M",0,29.41,30.07,2.6,9,4
1,"2013-06-04",72,50,61,-3,45,52,4,0,418,1922," ",0,"M",0,0,29.39,30.11,5.3,7,6.1
2,"2013-06-04",72,50,61,"M",44,52,4,0,"-","-"," ","M","M","M",0,29.46,30.12,5.6,7,6.9
1,"2013-06-05",73,54,64,-1,49,54,1,0,417,1923,"RA",0,"M",0,0.01,29.24,30,6.8,5,8.2
2,"2013-06-05",76,56,66,"M",46,55,0,1,"-","-","RA","M","M","M","  T",29.33,29.99,6.1,6,8.3
1,"2013-06-06",64,52,58,-8,50,53,7,0,417,1923,"RA",0,"M",0,0.15,29.18,29.91,8.9,3,9.1
2,"2013-06-06",65,54,60,"M",48,53,5,0,"-","-","RA","M","M","M",0.06,29.23,29.9,9,3,9.6
1,"2013-06-07",68,52,60,-6,45,52,5,0,417,1924," ",0,"M",0,"  T",29.2,29.92,9.5,3,9.9
2,"2013-06-07",68,54,61,"M",44,52,4,0,"-","-"," ","M","M","M",0,29.26,29.92,8.8,2,9.2
1,"2013-06-08",74,49,62,-4,43,53,3,0,417,1925," ",0,"M",0,0,29.25,29.96,4.7,7,5.4
2,"2013-06-08",74,50,62,"M",42,53,3,0,"-","-"," ","M","M","M",0,29.31,29.96,4.7,6,5.6
1,"2013-06-09",80,55,68,2,55,61,0,3,416,1925,"RA",0,"M",0,0.01,29.15,29.88,6,15,8.9
2,"2013-06-09",83,58,71,"M",53,61,0,6,"-","-","RA","M","M","M",0.01,29.22,29.88,7.1,15,8.4
1,"2013-06-10",76,60,68,1,63,65,0,3,416,1926,"TSRA RA BR HZ",0,"M",0,0.26,29.08,29.79,2.7,4,4.3
2,"2013-06-10",75,61,68,"M",61,64,0,3,"-","-","RA BR HZ VCFG","M","M","M",0.85,29.14,29.78,2,7,4.4
1,"2013-06-11",83,60,72,5,62,67,0,7,416,1926,"RA BR",0,"M",0,"  T",29.13,29.85,3.2,25,4.5
2,"2013-06-11",84,60,72,"M",61,66,0,7,"-","-","RA FG+ BR","M","M","M",0.24,29.21,29.85,2.5,23,4.1
1,"2013-06-12",86,63,75,7,64,67,0,10,416,1927,"TS TSRA BR",0,"M",0,0.75,29,29.74,3.1,8,8
2,"2013-06-12",87,64,76,"M",64,67,0,11,"-","-","TSRA RA BR HZ","M","M","M",0.25,29.08,29.74,2.9,5,5.8
1,"2013-06-13",73,58,66,-2,54,59,0,1,416,1927,"BR",0,"M",0,0,29.23,29.92,11.7,3,12.2
2,"2013-06-13",72,59,66,"M",53,59,0,1,"-","-","BR","M","M","M",0,29.29,29.91,12.6,1,13.2
1,"2013-06-14",78,56,67,-1,51,57,0,2,416,1928," ",0,"M",0,0,29.34,30.05,6.6,6,7.9
2,"2013-06-14",76,57,67,"M",50,57,0,2,"-","-"," ","M","M","M",0,29.4,30.04,6,5,7.8
1,"2013-06-15",80,58,69,1,62,65,0,4,416,1928,"RA BR",0,"M",0,0.17,29.21,29.95,5.6,21,7.7
2,"2013-06-15",81,61,71,"M",60,64,0,6,"-","-","TS RA","M","M","M",0.12,29.28,29.95,5.6,21,7.2
1,"2013-06-16",86,69,78,9,62,67,0,13,416,1929," ",0,"M",0,0,29.16,29.88,8.3,27,9.2
2,"2013-06-16",83,69,76,"M",62,67,0,11,"-","-"," ","M","M","M",0,29.23,29.87,8.6,24,9.5
1,"2013-06-17",88,59,74,5,55,63,0,9,416,1929," ",0,"M",0,0.03,29.18,29.89,3.9,29,8.1
2,"2013-06-17",88,62,75,"M",56,64,0,10,"-","-","TSRA","M","M","M",0.1,29.24,29.88,3.7,28,8.4
1,"2013-06-18",71,56,64,-6,52,56,1,0,416,1929,"BR",0,"M",0,0,29.31,30.01,11.4,3,11.6
2,"2013-06-18",70,57,64,"M",52,57,1,0,"-","-","RA BR HZ","M","M","M",0.01,29.36,30,12.1,2,12.4
1,"2013-06-19",75,53,64,-6,46,55,1,0,416,1930," ",0,"M",0,0,29.39,30.1,5.9,8,6.9
2,"2013-06-19",75,57,66,"M",46,56,0,1,"-","-"," ","M","M","M",0,29.44,30.09,6.4,7,7.2
1,"2013-06-20",86,56,71,1,58,64,0,6,416,1930," ",0,"M",0,0,29.38,30.1,5.1,12,5.9
2,"2013-06-20",86,62,74,"M",57,64,0,9,"-","-"," ","M","M","M",0,29.45,30.1,6,11,7.2
1,"2013-06-21",82,68,75,5,65,68,0,10,416,1930,"RA BR",0,"M","  T",0.79,29.34,30.04,7.4,19,9.5
2,"2013-06-21",85,70,78,"M",63,67,0,13,"-","-","TSRA","M","M","M",0.11,29.39,30.04,7.6,19,9.6
1,"2013-06-22",80,67,74,4,67,69,0,9,417,1931,"RA",0,"M",0,0.04,29.3,30.01,3.1,22,8.4
2,"2013-06-22",83,70,77,"M",65,69,0,12,"-","-"," ","M","M","M",0,29.37,30,4.8,20,7.8
1,"2013-06-23",87,66,77,7,68,71,0,12,417,1931,"RA",0,"M",0,0.84,29.26,29.97,10.7,20,11.5
2,"2013-06-23",89,69,79,"M",66,70,0,14,"-","-","TSRA","M","M","M","  T",29.34,29.97,9.3,20,9.5
1,"2013-06-24",89,67,78,7,67,69,0,13,417,1931,"BR",0,"M",0,0.18,29.25,29.95,8.9,23,10
2,"2013-06-24",86,68,77,"M",65,69,0,12,"-","-","HZ","M","M","M",0.14,29.3,29.96,10.5,21,11
1,"2013-06-25",85,67,76,5,69,71,0,11,417,1931,"TSRA",0,"M",0,0.03,29.13,29.86,4.5,19,6.9
2,"2013-06-25",87,70,79,"M",67,71,0,14,"-","-","RA","M","M","M","  T",29.21,29.85,5.2,21,8.6
1,"2013-06-26",80,66,73,2,67,68,0,8,418,1931,"TSRA RA BR",0,"M",0,1.48,29.05,29.76,2.2,16,7.4
2,"2013-06-26",81,68,75,"M",65,68,0,10,"-","-","TS RA","M","M","M",0.19,29.11,29.75,2.6,18,9
1,"2013-06-27",90,64,77,6,67,70,0,12,418,1931,"BR",0,"M","  T",0.92,29.01,29.73,7.2,29,7.2
2,"2013-06-27",91,66,79,"M",65,69,0,14,"-","-","BR HZ","M","M","M",0.59,29.08,29.71,6.1,29,6.8
1,"2013-06-28",83,67,75,4,61,66,0,10,419,1931,"RA",0,"M",0,"  T",28.91,29.63,10.5,31,10.9
2,"2013-06-28",83,68,76,"M",60,65,0,11,"-","-","RA","M","M","M",0.16,28.97,29.62,9,29,9.8
1,"2013-06-29",72,64,68,-3,59,62,0,3,419,1931,"BR",0,"M",0,0,28.97,29.66,12,2,12.3
2,"2013-06-29",72,64,68,"M",59,62,0,3,"-","-","RA","M","M","M","  T",29.03,29.65,11.7,1,12
1,"2013-06-30",77,62,70,-2,52,59,0,5,419,1931," ",0,"M",0,0,29.2,29.88,13.8,2,13.9
2,"2013-06-30",76,64,70,"M",52,60,0,5,"-","-"," ","M","M","M",0,29.25,29.86,14,1,14.2
1,"2013-07-01",75,59,67,-5,51,58,0,2,420,1931," ",0,"M",0,0,29.31,30.03,12.6,3,12.3
2,"2013-07-01",75,61,68,"M",50,58,0,3,"-","-"," ","M","M","M",0,29.37,30.01,13.8,3,13.6
1,"2013-07-02",68,60,64,-8,52,57,1,0,420,1931," ",0,"M",0,"  T",29.33,30.05,11,3,11.2
2,"2013-07-02",68,62,65,"M",53,58,0,0,"-","-","RA","M","M","M","  T",29.39,30.04,12,3,12.3
1,"2013-07-03",72,59,66,-6,60,62,0,1,421,1931,"DZ BR HZ",0,"M",0,0.02,29.32,30.04,2.2,2,5.3
2,"2013-07-03",74,62,68,"M",60,62,0,3,"-","-","TSRA RA","M","M","M",0.07,29.38,30.03,0.5,36,4.2
1,"2013-07-04",83,56,70,-2,61,64,0,5,422,1930,"BR",0,"M",0,0,29.34,30.05,4.4,20,5.1
2,"2013-07-04",83,61,72,"M",59,65,0,7,"-","-","BR HZ","M","M","M",0,29.41,30.05,7.3,19,7.7
1,"2013-07-05",86,60,73,1,61,66,0,8,422,1930," ",0,"M",0,0,29.33,30.04,3.7,19,4.8
2,"2013-07-05",87,63,75,"M",60,66,0,10,"-","-"," ","M","M","M",0,29.39,30.03,5.1,20,5.9
1,"2013-07-06",83,65,74,2,65,68,0,9,423,1930," ",0,"M",0,0,29.29,30.01,4.1,19,4.5
2,"2013-07-06",82,71,77,"M",63,68,0,12,"-","-"," ","M","M","M",0,29.36,30,5.4,19,5.9
1,"2013-07-07",88,70,79,7,67,71,0,14,423,1930," ",0,"M",0,0,29.26,29.97,6.6,21,6.8
2,"2013-07-07",89,70,80,"M",66,71,0,15,"-","-"," ","M","M","M",0,29.33,29.96,8,21,8.2
1,"2013-07-08",86,70,78,5,71,74,0,13,424,1929,"TSRA RA BR",0,"M",0,0.5,29.24,29.95,7.8,23,8.4
2,"2013-07-08",87,71,79,"M",70,72,0,14,"-","-","RA BR","M","M","M",0.84,29.31,29.95,10,22,10.5
1,"2013-07-09",85,73,79,6,74,75,0,14,425,1929,"BR",0,"M",0,"  T",29.19,29.91,6.9,23,7.3
2,"2013-07-09",85,75,80,"M",72,75,0,15,"-","-","RA BR HZ","M","M","M",0.01,29.26,29.91,8.9,23,9.3
1,"2013-07-10",85,66,76,3,65,70,0,11,425,1929," ",0,"M",0,0,29.2,29.89,6,34,8.3
2,"2013-07-10",87,66,77,"M",65,69,0,12,"-","-"," ","M","M","M",0,29.26,29.88,3.7,3,8
1,"2013-07-11",81,64,73,0,54,62,0,8,426,1928," ",0,"M",0,0,29.36,30.06,6.5,3,7.4
2,"2013-07-11",80,63,72,"M",52,61,0,7,"-","-"," ","M","M","M",0,29.42,30.05,6.3,3,7.5
1,"2013-07-12",83,58,71,-2,53,61,0,6,427,1928," ",0,"M",0,0,29.38,30.1,4,8,4.8
2,"2013-07-12",82,60,71,"M",54,62,0,6,"-","-"," ","M","M","M",0,29.44,30.09,4.1,8,5.4
1,"2013-07-13",84,62,73,0,59,65,0,8,428,1927," ",0,"M",0,0,29.41,30.12,6.8,9,7.5
2,"2013-07-13",83,67,75,"M",58,65,0,10,"-","-"," ","M","M","M",0,29.47,30.11,6.4,9,7.1
1,"2013-07-14",88,72,80,7,66,71,0,15,428,1927," ",0,"M",0,0,29.47,30.17,6.7,9,7.6
2,"2013-07-14",88,73,81,"M",66,70,0,16,"-","-"," ","M","M","M",0,29.52,30.16,8.2,8,8.5
1,"2013-07-15",89,71,80,6,71,74,0,15,429,1926," ",0,"M",0,0.09,29.52,30.23,4.3,8,5.1
2,"2013-07-15",91,75,83,"M",71,74,0,18,"-","-"," ","M","M","M",0.02,29.57,30.21,5,8,6.2
1,"2013-07-16",92,73,83,9,72,75,0,18,430,1925," ",0,"M",0,0,29.54,30.25,6.4,23,6.8
2,"2013-07-16",93,77,85,"M",70,75,0,20,"-","-"," ","M","M","M",0.01,29.61,30.24,6.8,22,7.3
1,"2013-07-17",94,76,85,11,72,76,0,20,431,1925," ",0,"M",0,0,29.51,30.23,6.7,26,6.9
2,"2013-07-17",95,77,86,"M",70,75,0,21,"-","-"," ","M","M","M",0,29.57,30.21,6.2,25,7.1
1,"2013-07-18",95,77,86,12,72,76,0,21,432,1924," ",0,"M",0,"  T",29.31,30.05,7.2,24,8.1
2,"2013-07-18",96,79,88,"M",71,76,0,23,"-","-","TS","M","M","M",0,29.38,30.04,8.8,23,9.4
