"Station","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","CodeSum","Depth","Water1","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
1,"2009-05-01",60,46,53,0,40,47,12,0,448,1849,"RA",0,"M",0,0.02,29.26,29.98,8.4,29,8.5
2,"2009-05-01",62,48,55,"M",42,48,10,0,"-","-","RA","M","M","M",0.04,29.33,29.98,8.1,29,8.6
1,"2009-05-02",66,44,55,1,33,45,10,0,447,1850," ",0,"M",0,0,29.21,29.94,8.8,26,9.2
2,"2009-05-02",65,45,55,"M",34,46,10,0,"-","-"," ","M","M","M",0,29.28,29.95,9.2,27,9.5
1,"2009-05-03",70,43,57,3,34,47,8,0,446,1851," ",0,"M",0,0,29.19,29.92,3.9,26,4.9
2,"2009-05-03",70,45,58,"M",35,48,7,0,"-","-"," ","M","M","M",0,29.26,29.92,4.7,26,4.8
1,"2009-05-04",70,43,57,3,34,47,8,0,444,1852," ",0,"M",0,0,29.31,30.02,6.5,9,7.6
2,"2009-05-04",70,49,60,"M",36,48,5,0,"-","-"," ","M","M","M",0,29.37,30.02,7.1,9,8.4
1,"2009-05-05",71,49,60,5,40,50,5,0,443,1853," ",0,"M",0,0,29.22,29.95,5.5,13,6
2,"2009-05-05",70,54,62,"M",41,51,3,0,"-","-"," ","M","M","M",0,29.28,29.95,5.1,12,5.9
1,"2009-05-06",75,51,63,8,51,55,2,0,442,1855,"RA BR",0,"M",0,0.67,29.05,29.79,6.5,19,8.1
2,"2009-05-06",75,56,66,"M",51,56,0,1,"-","-","RA BR","M","M","M",0.86,29.13,29.8,6.2,19,7.2
1,"2009-05-07",77,56,67,12,52,57,0,2,441,1856,"RA BR HZ",0,"M",0,0.19,29.01,29.73,8.5,25,10.3
2,"2009-05-07",77,56,67,"M",53,58,0,2,"-","-","RA BR HZ","M","M","M",0.03,29.08,29.74,8.2,24,9.2
1,"2009-05-08",77,53,65,9,53,58,0,0,439,1857,"TSRA RA",0,"M",0,0.02,28.94,29.68,4.9,21,6
2,"2009-05-08",74,57,66,"M",55,59,0,1,"-","-","BR HZ","M","M","M",0.01,29,29.67,4.4,20,6.1
1,"2009-05-09",63,46,55,-1,44,48,10,0,438,1858," ",0,"M",0,"  T",29.19,29.87,6.8,29,11.8
2,"2009-05-09",64,45,55,"M",44,49,10,0,"-","-"," ","M","M","M",0,29.26,29.87,4.7,28,11.3
1,"2009-05-10",67,40,54,-2,39,46,11,0,437,1859," ",0,"M",0,0,29.41,30.11,4.7,30,8.4
2,"2009-05-10",67,43,55,"M",40,47,10,0,"-","-","RA","M","M","M",0.02,29.47,30.11,5.1,30,9
1,"2009-05-11",61,39,50,-7,35,44,15,0,436,1860," ",0,"M",0,0,29.47,30.2,0.7,8,4.6
2,"2009-05-11",61,40,51,"M",34,44,14,0,"-","-"," ","M","M","M",0,29.53,30.2,2.1,7,4.5
