"Station","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","CodeSum","Depth","Water1","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
1,"2008-05-01",74,48,61,8,51,56,4,0,448,1849," ",0,"M",0,0,28.95,29.67,10.6,16,11.5
2,"2008-05-01",73,48,61,"M",51,57,4,0,"-","-"," ","M","M","M","  T",29.01,29.67,9.8,17,10.4
1,"2008-05-02",74,51,63,9,55,58,2,0,447,1850,"TSRA RA BR",0,"M",0,1.28,28.79,29.53,13.8,20,15.1
2,"2008-05-02",74,55,65,"M",56,60,0,0,"-","-","TSRA RA BR","M","M","M",0.74,28.85,29.52,11.9,19,13
1,"2008-05-03",56,43,50,-4,41,46,15,0,446,1851,"RA",0,"M",0,"  T",29.01,29.69,10.4,25,12.7
2,"2008-05-03",56,44,50,"M",42,46,15,0,"-","-","RA BR","M","M","M",0.01,29.08,29.69,11.2,25,12.7
1,"2008-05-04",65,38,52,-2,34,45,13,0,444,1852," ",0,"M",0,0,29.31,30.02,5.6,24,6.3
2,"2008-05-04",66,39,53,"M",33,45,12,0,"-","-"," ","M","M","M",0,29.38,30.02,5.1,23,5.6
1,"2008-05-05",75,50,63,8,38,50,2,0,443,1853," ",0,"M",0,0,29.27,29.99,4.4,26,7
2,"2008-05-05",74,50,62,"M",38,50,3,0,"-","-"," ","M","M","M",0,29.34,29.99,3.7,23,6.2
1,"2008-05-06",81,46,64,9,44,55,1,0,442,1855," ",0,"M",0,0,29.16,29.88,6.3,22,7.1
2,"2008-05-06",82,52,67,"M",43,55,0,2,"-","-"," ","M","M","M",0,29.23,29.88,6.9,22,8.8
1,"2008-05-07",70,49,60,5,52,56,5,0,441,1856,"RA BR",0,"M",0,0.76,28.97,29.69,3.5,23,12.3
2,"2008-05-07",71,50,61,"M",53,56,4,0,"-","-","RA BR","M","M","M",0.71,29.03,29.69,1.9,22,11.1
1,"2008-05-08",59,45,52,-4,35,44,13,0,439,1857," ",0,"M",0,0,29.08,29.82,12.2,5,12.6
2,"2008-05-08",59,47,53,"M",36,45,12,0,"-","-"," ","M","M","M",0,29.14,29.81,14.3,5,15
1,"2008-05-09",58,41,50,-6,34,43,15,0,438,1858," ",0,"M",0,0,29.15,29.85,6.3,3,6.9
2,"2008-05-09",58,42,50,"M",35,44,15,0,"-","-"," ","M","M","M",0,29.2,29.85,6.5,3,7
1,"2008-05-10",61,38,50,-6,37,45,15,0,437,1859," ",0,"M",0,0,29.08,29.85,5.9,7,6.3
2,"2008-05-10",61,41,51,"M",39,46,14,0,"-","-"," ","M","M","M",0,29.15,29.84,6,8,6.6
1,"2008-05-11",58,46,52,-5,43,47,13,0,436,1860,"RA BR",0,"M",0,0.95,28.85,29.55,14.5,2,17.7
2,"2008-05-11",60,47,54,"M",44,48,11,0,"-","-","RA BR","M","M","M",1.46,28.89,29.53,14.3,2,17.8
1,"2008-05-12",56,40,48,-9,38,43,17,0,435,1901," ",0,"M",0,0,29.26,29.96,5.1,7,7.8
2,"2008-05-12",53,41,47,"M",39,43,18,0,"-","-"," ","M","M","M",0,29.32,29.96,4.9,6,7.6
