"Date","Time","Latitude","Longitude"
"2013-07-17","7:45:45 PM",41.9977283333,-87.7675316667
"2013-07-17","7:45:55 PM",41.99799,-87.768085
"2013-07-17","7:46:05 PM",41.9982366667,-87.7686233333
"2013-07-17","7:46:15 PM",41.99851,-87.769225
"2013-07-17","7:46:25 PM",41.9987933333,-87.7698333333
"2013-07-17","7:46:35 PM",41.99908,-87.7704516667
"2013-07-17","7:46:45 PM",41.9993766667,-87.7710733333
"2013-07-17","7:46:55 PM",41.999675,-87.7717133333
"2013-07-17","7:47:04 PM",41.9999583333,-87.7723016667
"2013-07-17","7:47:15 PM",42.0002616667,-87.7729366667
"2013-07-17","7:47:25 PM",42.0005183333,-87.77349
"2013-07-17","7:47:35 PM",42.0007733333,-87.7740316667
"2013-07-17","7:47:45 PM",42.0010283333,-87.7745783333
"2013-07-17","7:47:55 PM",42.0013033333,-87.775165
"2013-07-17","7:48:05 PM",42.0015866667,-87.7757616667
"2013-07-17","7:48:15 PM",42.0018766667,-87.77638
"2013-07-17","7:48:25 PM",42.0021666667,-87.7769983333
"2013-07-17","7:48:35 PM",42.0024683333,-87.7776383333
"2013-07-17","7:48:45 PM",42.002785,-87.7783216667
"2013-07-17","7:48:55 PM",42.0031033333,-87.7790033333
"2013-07-17","7:49:05 PM",42.0034083333,-87.77967
"2013-07-17","7:49:15 PM",42.0037016667,-87.780295
"2013-07-17","7:49:25 PM",42.003995,-87.780935
"2013-07-17","7:49:35 PM",42.0043216667,-87.7815866667
"2013-07-17","7:49:45 PM",42.0046983333,-87.7822033333
"2013-07-17","7:49:54 PM",42.00509,-87.78267
"2013-07-17","7:50:05 PM",42.00563,-87.7831933333
"2013-07-17","7:50:14 PM",42.0060466667,-87.78356
"2013-07-17","7:50:25 PM",42.0065883333,-87.7840283333
"2013-07-17","7:50:35 PM",42.007055,-87.7844333333
"2013-07-17","7:50:45 PM",42.00753,-87.78485
"2013-07-17","7:51:11 PM",42.0080333333,-87.785285
"2013-07-17","7:51:21 PM",42.0084716667,-87.785675
"2013-07-17","7:51:31 PM",42.0089266667,-87.7860683333
"2013-07-17","7:51:41 PM",42.0094116667,-87.7864866667
"2013-07-17","7:51:51 PM",42.0098816667,-87.7868966667
"2013-07-17","7:52:01 PM",42.0103883333,-87.7873216667
"2013-07-17","7:52:11 PM",42.0109033333,-87.7877483333
"2013-07-17","7:52:21 PM",42.01144,-87.7882116667
"2013-07-17","7:52:31 PM",42.0118116667,-87.7882583333
"2013-07-17","7:52:41 PM",42.0118116667,-87.7874133333
"2013-07-17","7:52:51 PM",42.011835,-87.7866066667
"2013-07-17","7:53:01 PM",42.011835,-87.7858166667
"2013-07-17","7:53:11 PM",42.0118433333,-87.785085
"2013-07-17","7:53:21 PM",42.0118583333,-87.784405
"2013-07-17","7:53:31 PM",42.011455,-87.784315
"2013-07-17","7:53:41 PM",42.011005,-87.7843183333
"2013-07-17","7:53:51 PM",42.01056,-87.784325
"2013-07-17","7:54:01 PM",42.010145,-87.7843516667
"2013-07-17","7:54:11 PM",42.0101316667,-87.7850166667
"2013-07-17","7:54:21 PM",42.01013,-87.7856416667
"2013-07-17","7:54:31 PM",42.010135,-87.7863516667
