"Date","Time","Latitude","Longitude"
"2011-08-29","6:56:58 PM",42.3916233333,-88.0891633333
"2011-08-29","6:57:08 PM",42.3913483333,-88.0891633333
"2011-08-29","6:57:18 PM",42.3910216667,-88.0891566667
"2011-08-29","6:57:28 PM",42.3906366667,-88.0891583333
"2011-08-29","6:57:38 PM",42.39041,-88.0888583333
"2011-08-29","6:57:48 PM",42.390395,-88.088315
"2011-08-29","6:57:58 PM",42.3906733333,-88.0880016667
"2011-08-29","6:58:08 PM",42.3910266667,-88.0880016667
"2011-08-29","6:58:18 PM",42.3914033333,-88.0880033333
"2011-08-29","6:58:28 PM",42.3917183333,-88.087995
"2011-08-29","6:58:38 PM",42.3920383333,-88.0879883333
"2011-08-29","6:58:48 PM",42.39241,-88.0880783333
"2011-08-29","6:58:58 PM",42.3928,-88.0883316667
"2011-08-29","6:59:08 PM",42.3932566667,-88.08837
"2011-08-29","6:59:18 PM",42.3936,-88.0882316667
"2011-08-29","7:00:08 PM",42.3932033333,-88.0884166667
"2011-08-29","7:00:18 PM",42.3927916667,-88.0883116667
"2011-08-29","7:00:28 PM",42.3924766667,-88.08821
"2011-08-29","7:00:38 PM",42.392385,-88.0886966667
"2011-08-29","7:00:48 PM",42.3920983333,-88.0891133333
"2011-08-29","7:00:58 PM",42.39218,-88.0894983333
"2011-08-29","7:01:08 PM",42.3924283333,-88.08979
"2011-08-29","7:01:18 PM",42.3927216667,-88.0900416667
"2011-08-29","7:01:28 PM",42.3929583333,-88.0903
"2011-08-29","7:01:38 PM",42.39299,-88.090895
"2011-08-29","7:01:48 PM",42.3930016667,-88.0916116667
"2011-08-29","7:01:58 PM",42.3930083333,-88.09201
"2011-08-29","7:02:08 PM",42.39302,-88.0925483333
"2011-08-29","7:02:18 PM",42.3931033333,-88.0931816667
"2011-08-29","7:02:28 PM",42.3931183333,-88.0937366667
"2011-08-29","7:02:38 PM",42.3934233333,-88.093895
"2011-08-29","7:02:48 PM",42.3937433333,-88.094075
"2011-08-29","7:02:58 PM",42.394105,-88.09425
"2011-08-29","7:03:08 PM",42.3944783333,-88.0942233333
"2011-08-29","7:03:18 PM",42.39486,-88.0941983333
"2011-08-29","7:03:28 PM",42.395085,-88.094515
"2011-08-29","7:03:38 PM",42.395095,-88.0950266667
"2011-08-29","7:03:48 PM",42.3950783333,-88.09552
"2011-08-29","7:03:58 PM",42.3953516667,-88.0957716667
"2011-08-29","7:04:08 PM",42.3956966667,-88.0958333333
"2011-08-29","7:04:18 PM",42.3959833333,-88.0957566667
"2011-08-29","7:04:48 PM",42.3952183333,-88.095685
"2011-08-29","7:04:58 PM",42.3949316667,-88.095555
"2011-08-29","7:05:08 PM",42.3946166667,-88.0955966667
"2011-08-29","7:05:18 PM",42.39429,-88.0956
"2011-08-29","7:05:28 PM",42.3939566667,-88.095485
"2011-08-29","7:05:38 PM",42.3936733333,-88.0953716667
"2011-08-29","7:05:48 PM",42.3933316667,-88.0952216667
"2011-08-29","7:05:58 PM",42.3930366667,-88.0951433333
"2011-08-29","7:06:08 PM",42.3926466667,-88.0951383333
"2011-08-29","7:06:18 PM",42.3923483333,-88.09514
"2011-08-29","7:06:28 PM",42.3922366667,-88.095455
"2011-08-29","7:06:38 PM",42.3922466667,-88.09598
"2011-08-29","7:06:48 PM",42.3924633333,-88.096435
"2011-08-29","7:06:58 PM",42.3928383333,-88.096445
"2011-08-29","7:07:08 PM",42.3931933333,-88.0964466667
"2011-08-29","7:07:18 PM",42.3934883333,-88.0962666667
"2011-08-29","7:07:28 PM",42.3936033333,-88.0959166667
"2011-08-29","7:07:38 PM",42.3936783333,-88.0955933333
"2011-08-29","7:08:18 PM",42.3925266667,-88.0951483333
"2011-08-29","7:08:28 PM",42.3921966667,-88.0951633333
"2011-08-29","7:08:38 PM",42.39186,-88.09514
"2011-08-29","7:08:48 PM",42.3915183333,-88.0951433333
"2011-08-29","7:08:58 PM",42.3912966667,-88.0952033333
"2011-08-29","7:09:08 PM",42.391275,-88.0956083333
"2011-08-29","7:09:18 PM",42.39127,-88.096035
"2011-08-29","7:09:28 PM",42.3912383333,-88.0964683333
